1,DataChef
2,Team Outliers
3,Team Data Dynamo
4,Just here for Snacks
5,Mix-n-Match
6,Team Rank Killer
7,Python R Us
8,Runtime Terror
9,Team Biryani
10,MonsterLearningSquared
11,Code Fellas
12,Team We R Python
13,Team Chapman
14,Team Sccwrpions
