Team SCCWRPions
Team Chapman
Team Rank Killer
Team We R Python
Team Data Dynamo
Just here for Snacks
Mix-n-Match
Python R Us
Runtime Terror
Team Outliers
MonsterLearningSquared
Team Biryani
DataChef
Code Fellas
